COD_UPZ_EM,Cod_UPZ,UPZ,NomUPZ,Personas,Personas_mujer,Personas_hombre,Hogares,Jefe_Hogar_Mujer,Jefe_Hogar_Hombre,Niños_5_17_años,TrabajoInf_Niños_5_17_años,TrabajoInf_Niños_5_17_años_%,TrabajoInfampliado_Niños_5_17_años,TrabajoInfampliado_Niños_5_17_años_%,Jovenes_14_24_años,Jovenes_14_24_años_NINI,Jovenes_14_24_años_NINI_%,Niños_0_14_años,Adultos_Mayores_65_años,Indice_Envegecimiento,Adultos_Mayores_60_años,Adultos_Mayores_60_años_en_Hogar_Pobre,Etnia_Indigena,Etnia_Gitano,Etnia_Raizal,Etnia_Palenquera,Etnia_Afro,Población_discapacitada,Hogares_mismosexo,Hogares_Victimas,Personas_Victimas,Hogares_con_poblac_discapacitada
82,82,UPZ82,PATIO BONITO,202934,35478,34847,64552,21180,43371,41286,556,1.3,1010,2.4,35984,8277,23,46027,9125,19.8,14601,3070,475,80,0,89,3413,4999,181,650,2045,4545
28,28,UPZ28,EL RINCON,370385,11319,11121,123245,52333,70911,70274,977,1.4,176,0.3,62726,9812,15.6,78899,19301,24.5,32575,3302,910,0,217,159,2753,10818,100,966,5474,9769
87,87,UPZ87,TINTAL SUR,76996,48791,47919,23126,7796,15330,17461,63,0.4,878,5,12502,2599,20.8,20125,1965,9.8,3163,612,105,0,0,0,2618,4998,0,89,273,3634
86,86,UPZ86,EL PORVENIR,87973,44475,43680,25256,9946,15310,19044,111,0.6,1396,7.3,14820,3676,24.8,22246,3125,14,5811,1478,135,50,52,62,2514,4017,0,378,1202,3343
42,42,UPZ42,VENECIA,137971,71361,70088,47963,17679,30284,23735,311,1.3,1496,6.3,21874,4017,18.4,25659,10251,40,15422,3302,190,111,113,68,1930,4678,262,112,286,4184
67,67,UPZ67,LUCERO,196262,36779,34277,60949,25335,35615,44818,394,0.9,1535,3.4,37237,11104,29.8,50255,10912,21.7,16040,5695,893,0,0,0,1907,8179,0,747,2051,7387
34,34,UPZ34,20 DE JULIO,88155,48202,47339,26443,10467,15976,15999,335,2.1,891,5.6,14707,2507,17,17634,6396,36.3,9807,1406,54,0,0,47,1787,3223,82,208,654,2819
50,50,UPZ50,LA GLORIA,96710,22119,21721,31039,10726,20313,19243,503,2.6,565,2.9,17075,3951,23.1,21740,6978,32.1,9938,2626,334,0,0,0,1712,4659,74,208,930,4069
70,70,UPZ70,JERUSALEM,112706,46513,45687,32398,11921,20477,25438,463,1.8,1003,3.9,21318,5521,25.9,28610,4548,15.9,7519,2151,61,46,242,0,1576,5417,83,157,563,4524
80,80,UPZ80,CORABASTOS,78438,42130,41375,23686,7590,16096,17240,266,1.5,1584,9.2,14399,3011,20.9,19012,2955,15.5,4546,1090,120,0,21,0,1501,2386,34,305,1292,2168
66,66,UPZ66,SAN FRANCISCO,95541,10168,9987,30585,13467,17118,18177,273,1.5,18,0.1,17726,4025,22.7,20750,6290,30.3,9095,1640,37,0,47,0,1422,4421,0,145,489,3974
84,84,UPZ84,BOSA OCCIDENTAL,223493,44492,43701,68403,20698,47705,48703,378,0.8,1944,4,41540,9424,22.7,52828,9340,17.7,16017,5510,629,72,0,0,1396,8502,92,883,2853,7411
801,53,UPZ53,MARCO FIDEL SUAREZ,105367,12216,11999,34623,10820,23803,18988,366,1.9,211,1.1,16673,3628,21.8,20647,9193,44.5,13120,2612,334,0,27,0,1345,5186,0,90,351,4479
801,36,UPZ36,SAN JOSE,105367,12216,11999,34623,10820,23803,18988,366,1.9,211,1.1,16673,3628,21.8,20647,9193,44.5,13120,2612,334,0,27,0,1345,5186,0,90,351,4479
